source,reason
kaggle_elliptic_data_set_4b5769.csv_b4,unsupported operand type(s) for /: 'NoneType' and 'int'
kaggle_elliptic_data_set_4b5769.csv_b5,unsupported operand type(s) for /: 'NoneType' and 'int'
kaggle_elliptic_data_set_4b5769.csv_b6,unsupported operand type(s) for /: 'NoneType' and 'int'
kaggle_elliptic_data_set_4b5769.csv_b7,unsupported operand type(s) for /: 'NoneType' and 'int'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b2,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b3,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b4,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b5,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b6,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b7,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b8,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b9,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b10,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b11,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b12,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b13,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b14,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b15,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b16,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b17,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b18,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b19,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b20,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b21,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b22,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b23,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b24,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b25,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b26,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b27,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b28,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b29,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b30,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b31,unsupported operand type(s) for +: 'float' and 'NoneType'
kaggle_financial_transactions_dataset__analyt_95368d.csv_b32,unsupported operand type(s) for +: 'float' and 'NoneType'
